,monthly_price,latitude,longitude,bedrooms,bathrooms,daft_link
134,295000,51.917658,-8.447921,3 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-4-ashgrove-villas-ballyvolane-ballyvolane-co-cork/3716008
135,375000,53.347672,-6.458868,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-13-the-paddocks-drive-lucan-co-dublin/3713098
136,175000,51.872031,-8.495692,1 Bed,2 Bath,http://www.daft.ie/for-sale/terraced-house-43-palmbury-orchard-togher-togher-co-cork/3636222
137,275000,51.88299,-8.471827,3 Bed,1 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-18-botanic-road-ballyphehane-ballyphehane-co-cork/3705314
138,315000,54.20614,-8.508924,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-46-carra-g-abh-inn-ballisodare-co-sligo/3715817
139,215000,54.258315,-8.472466,3 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-128-rusheen-rd-caltragh-sligo-co-sligo/3715513
140,415000,52.909342,-7.350865,5 Bed,4 Bath,http://www.daft.ie/for-sale/detached-house-11-de-vesci-hill-abbeyleix-co-laois/3713088
141,495000,52.857581,-8.946655,4 Bed,4 Bath,http://www.daft.ie/for-sale/detached-house-rosbrook-house-tulla-road-ennis-co-clare/3713503
142,350000,52.935812,-8.923608,5 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-the-beeches-cullenagh-crusheen-co-clare/3713231
143,335000,51.84820501973476,-8.780914411674843,3 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/semi-detached-house-house-type-d-river-meadows-river-meadows-cloughduv-co-cork/3713064
144,340000,51.84820501973476,-8.780914411674843,3 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/semi-detached-house-house-type-b-river-meadows-river-meadows-cloughduv-co-cork/3723125
145,390000,51.84820501973476,-8.780914411674843,4 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/semi-detached-house-house-type-e1-river-meadows-river-meadows-cloughduv-co-cork/3713061
146,430000,51.84820501973476,-8.780914411674843,4 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/detached-house-house-type-e-river-meadows-river-meadows-cloughduv-co-cork/3713060
147,445000,51.84820501973476,-8.780914411674843,4 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/detached-house-house-type-a-river-meadows-river-meadows-cloughduv-co-cork/3723148
148,245000,53.285029,-6.37814,3 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-9-alderpark-court-tallaght-tallaght-dublin-24/3711197
149,196000,54.274208,-8.505453,3 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-23-seaview-park-first-sea-road-sligo-co-sligo/3656516
150,335000,53.395999,-6.419991,3 Bed,1 Bath,http://www.daft.ie/for-sale/bungalow-6-meadow-way-hartstown-clonsilla-dublin-15/3711355
151,420000,52.21956,-6.51365,5 Bed,4 Bath,http://www.daft.ie/for-sale/detached-house-moortown-kilmore-co-wexford/3499054
152,350000,53.036329,-7.290932,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-moss-lane-dublin-road-portlaoise-co-laois/3697334
153,325000,54.0083,-6.398837,3 Bed,2 Bath,http://www.daft.ie/for-sale/townhouse-16-saint-marys-road-dundalk-co-louth/3638163
154,320000,52.66852,-8.648214,3 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-rathpeake-5-hazeldene-drive-ennis-road-co-limerick/3699182
155,399000,53.466192,-6.238504,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-54-ardcian-park-swords-co-dublin/3709133
156,125000,53.797414,-8.398895,2 Bed,1 Bath,http://www.daft.ie/for-sale/detached-house-caddlebrook-castlerea-co-roscommon/3701554
157,160000,51.912863,-8.471636,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-6-glen-hall-apartments-thomas-davis-street-blackpool-co-cork/3707499
158,270000,52.353157,-7.406858,3 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-2-cregg-lawns-carrick-on-suir-co-tipperary/3697718
159,249950,53.524324,-7.369362,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-129-ardilaun-green-ballymahon-road-mullingar-co-westmeath/3593383
160,329000,52.806293,-6.419514,3 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-the-wood-killavaney-tinahely-co-wicklow/3667686
161,320000,53.7277741,-6.8879349,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-3-tobair-ban-kells-co-meath/3702471
162,450000,53.898437,-6.676491,5 Bed,4 Bath,http://www.daft.ie/for-sale/detached-house-greatwood-ardee-co-louth/3688699
163,280000,53.40455,-6.17924,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-apartment-11-burnell-court-mayne-river-avenue-clarehall-dublin-13/3701902
164,259950,52.938243,-6.695427,3 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-100-ardglass-baltinglass-co-wicklow/3594702
165,475000,52.617666,-8.476698,7 Bed,4 Bath,http://www.daft.ie/for-sale/bungalow-bearys-cross-boher-co-limerick/3593289
166,495000,51.930014,-8.522188,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-8-ingle-downs-killeens-co-cork/3698865
167,465000,53.511364,-6.550848,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-10-manor-court-dunshaughlin-co-meath/3694598
168,195000,53.970092,-7.643085,6 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-19-church-manor-carrigallen-co-leitrim/3685766
169,300000,53.388233,-6.071194,1 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-apartment-1-waveney-house-howth-dublin-13/3516992
170,450000,52.241577,-7.091457,6 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-shangril-williamstown-road-co-waterford/3549721
171,265000,53.457375,-6.22176,2 Bed,1 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-5-river-lane-saint-colmcilles-court-swords-co-dublin/3694804
172,355000,51.922593,-8.385993,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-27-fernwood-glanmire-glanmire-co-cork/3697396
173,440000,53.318905,-6.333657,3 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-9-walkinstown-drive-walkinstown-dublin-12/3695820
174,330000,52.921618,-7.340748,3 Bed,1 Bath,http://www.daft.ie/for-sale/bungalow-18-abbey-crescent-ballyroan-road-abbeyleix-co-laois/3735721
175,350000,53.358112,-6.296885,2 Bed,1 Bath,http://www.daft.ie/for-sale/house-13-glenmore-road-blackhorse-avenue-dublin-7/3736569
176,425000,51.871797,-8.432649,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-14-hunters-way-maryborough-woods-douglas-co-cork/3693710
177,275000,53.44797,-6.23378,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-51-boroimhe-birches-swords-co-dublin/3719144
178,275000,51.919618,-8.486807,4 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-10-birchwood-close-onslow-gardens-blackpool-co-cork/3462367
